DateTime,Malota_m3ps,m3ps,m3ps_Linear_fit
2016-04-30,0.3661880224430624,0.3661880224430624,0.19174750105396116
2016-05-31,0.1840303664242344,0.1840303664242344,0.1927140229573872
2016-06-30,0.12110810302724061,0.12110810302724061,0.19364936673489636
2016-07-31,0.13494971792734464,0.13494971792734464,0.1946158886383224
2016-08-31,0.15431242510588375,0.15431242510588375,0.19558241054174846
2016-09-30,0.1364629627523558,0.1364629627523558,0.1965177543192576
2016-10-31,0.16185687909065735,0.16185687909065735,0.19748427622268366
2016-11-30,0.16832186994567505,0.16832186994567505,0.1984196200001928
2016-12-31,0.17120418217574793,0.17120418217574793,0.19938614190361886
2017-01-31,0.16378361444446443,0.16378361444446443,0.20035266380704503
2017-02-28,0.1660941440161348,0.1660941440161348,0.20122565133272013
2017-03-31,0.18857311767273577,0.18857311767273577,0.2021921732361463
2017-04-30,0.22542598361918517,0.22542598361918517,0.20312751701365533
2017-05-31,0.4684691498402139,0.4684691498402139,0.2040940389170815
2017-06-30,0.3061776440395802,0.3061776440395802,0.20502938269459053
2017-07-31,0.14210111593066596,0.14210111593066596,0.2059959045980167
2017-08-31,0.2365572873940843,0.2365572873940843,0.20696242650144275
2017-09-30,0.170347104328824,0.170347104328824,0.2078977702789519
2017-10-31,0.2128702648427584,0.2128702648427584,0.20886429218237795
2017-11-30,0.1639210145463413,0.1639210145463413,0.2097996359598871
2017-12-31,0.14158610718282066,0.14158610718282066,0.21076615786331315
2018-02-28,0.2730411012813309,0.2730411012813309,0.21260566729241442
2018-03-31,0.17529278942217144,0.17529278942217144,0.21357218919584048
2018-04-30,0.2533913446591734,0.2533913446591734,0.21450753297334962
2018-05-31,0.24962469037645602,0.24962469037645602,0.21547405487677568
2018-06-30,0.21496346195940952,0.21496346195940952,0.21640939865428482
2018-07-31,0.23370324619205624,0.23370324619205624,0.21737592055771088
2018-08-31,0.23593067934828765,0.23593067934828765,0.21834244246113704
2018-09-30,0.2001500162602184,0.2001500162602184,0.21927778623864608
2018-10-31,0.20870259514315065,0.20870259514315065,0.22024430814207224
2018-11-30,0.1670887363284371,0.1670887363284371,0.22117965191958128
2018-12-31,0.2683018743762207,0.2683018743762207,0.22214617382300744
2019-01-31,0.17614080652161693,0.17614080652161693,0.2231126957264335
