DateTime,WindDir_D1_WVT,WindDir_D1_WVT_Linear_fit
2017-04-30,94.44865863453815,125.10461265729577
2017-05-31,106.15727159663865,122.29512187562841
2017-06-30,122.49705694444444,119.57625982885338
2017-07-31,106.67065053763442,116.76676904718602
2017-08-31,101.95627620967743,113.95727826551865
2017-09-30,108.15045678583826,111.23841621874362
2017-10-31,112.39638743279569,108.42892543707626
2017-11-30,91.81510069444444,105.71006339030123
2017-12-31,120.7229942876344,102.90057260863387
2018-01-31,91.04586457954132,100.09108182696627
2018-02-28,0.0,97.55347724997637
2018-03-31,0.0,94.743986468309
2018-04-30,113.51760330578513,92.02512442153397
2018-05-31,101.79087768817205,89.21563363986661
2018-06-30,107.293434375,86.49677159309158
2018-07-31,117.19038911290322,83.68728081142422
2018-08-31,122.83511491935485,80.87779002975662
2018-09-30,101.01032338653712,78.15892798298182
2018-10-31,98.72779267473119,75.34943720131423
2018-11-30,114.55264908018049,72.63057515453943
2018-12-31,105.46575672043011,69.82108437287184
2019-01-31,100.17709778225807,67.01159359120447
2019-02-28,68.29949851190476,64.47398901421457
2019-03-31,98.68021908602151,61.664498232546975
2019-04-30,93.1091673611111,58.94563618577217
2019-05-31,115.4510497311828,56.13614540410458
2019-06-30,124.22252984038862,53.41728335732978
2019-07-31,94.93671514947935,50.60779257566219
2019-08-31,79.60004133064515,47.798301793994824
2019-09-30,0.0,45.079439747219794
2019-10-31,0.0,42.26994896555243
2019-11-30,0.07743055555555556,39.5510869187774
2019-12-31,0.0,36.74159613711004
2020-01-31,0.0,33.93210535544267
2020-02-29,0.0,31.303872043560204
2020-03-31,0.0,28.494381261892613
2020-04-30,0.0,25.77551921511781
2020-05-31,0.0,22.96602843345022
