DateTime,AirTF_Avg,AirTF_Avg_Linear_fit
2017-08-31,78.11122733612274,78.62252854409574
2017-09-30,78.54984722222223,78.68727796436939
2017-10-31,78.2976083305341,78.75418569865215
2017-11-30,78.85494791666666,78.8189351189258
2017-12-31,79.20716397849462,78.88584285320854
2018-01-31,79.15613611213574,78.95275058749131
2018-02-28,80.00213011152417,79.0131833797467
2018-03-31,80.10238911290323,79.08009111402947
2018-04-30,79.43900694444444,79.14484053430311
2018-05-31,79.44262096774193,79.21174826858586
2018-06-30,79.79534027777777,79.27649768885951
2018-07-31,77.94016129032258,79.34340542314227
2018-08-31,77.52484206989247,79.41031315742504
2018-09-30,78.44653125,79.47506257769868
2018-10-31,78.9050369623656,79.54197031198143
2018-11-30,79.88500694444444,79.60671973225507
2018-12-31,80.09754780275075,79.67362746653784
2019-01-31,80.85559811827957,79.7405352008206
2019-02-28,80.74710301227222,79.800967993076
2019-03-31,80.72506886126973,79.86787572735875
2019-04-30,80.83993055555555,79.9326251476324
2019-05-31,79.16219086021505,79.99953288191516
2019-06-30,78.81736363636364,80.0642823021888
