DateTime,Batt_Volt_Avg,Batt_Volt_Avg_Linear_fit
2019-06-30,12.738824158204169,12.733709318924637
2019-07-31,12.532913306451611,12.730764457503266
2019-08-31,12.801723790322582,12.727819596081893
2019-09-30,12.84228125,12.724969730190244
2019-10-31,12.817150537634408,12.722024868768873
2019-11-30,12.841284722222223,12.719175002877222
2019-12-31,12.770799731182796,12.716230141455851
2020-01-31,12.510618279569892,12.71328528003448
2020-02-29,12.45027658045977,12.71053040967255
2020-03-31,12.804643817204301,12.70758554825118
2020-04-30,12.749746527777777,12.70473568235953
2020-05-31,12.75235815602837,12.70179082093816
